3172749704,3172749727,21,2006,12,12,10,52
3172749723,3172749798,20,2003,3,24,5,58
3172749775,3172749798,18,2000,12,25,2,38
3172749734,3172749763,12,2015,2,23,19,15
3172749771,3172749720,4,2001,4,10,5,47
3172749771,3172749706,10,2005,9,14,23,18
3172749766,3172749796,51,2010,10,5,1,46
3172749719,3172749717,15,2003,3,5,8,29
3172749783,3172749714,47,2005,2,12,10,39
3172749718,3172749748,20,2015,10,21,16,19
3172749765,3172749795,58,2008,8,15,17,57
3172749752,3172749701,28,2013,12,19,21,2
3172749772,3172749709,15,2013,3,2,8,47
3172749750,3172749749,26,2014,6,16,2,46
3172749782,3172749747,3,2006,1,25,15,48
3172749793,3172749777,17,2019,2,1,4,18
3172749740,3172749799,40,2010,5,7,19,49
3172749700,3172749788,17,2000,9,20,1,57
3172749783,3172749762,51,2006,10,14,21,23
3172749791,3172749728,7,2005,2,22,14,49
3172749716,3172749741,31,2019,3,13,22,36
3172749776,3172749769,30,2009,9,14,15,26
3172749784,3172749749,44,2010,7,7,2,46
3172749728,3172749780,2,2002,1,17,20,21
3172749775,3172749722,48,2019,7,11,7,52
3172749732,3172749747,14,2018,11,10,21,42
3172749790,3172749781,40,2015,1,9,10,16
3172749709,3172749751,59,2001,12,19,16,52
3172749736,3172749701,2,2018,9,28,12,27
3172749782,3172749746,17,2005,4,17,3,46
3172749793,3172749737,46,2009,9,10,8,23
3172749711,3172749724,40,2007,8,6,6,9
3172749783,3172749786,2,2014,3,4,23,1
3172749799,3172749742,9,2008,11,3,21,29
3172749730,3172749769,3,2007,9,28,3,51
3172749746,3172749716,47,2014,4,16,14,27
3172749719,3172749742,60,2002,7,23,20,2
3172749775,3172749748,6,2019,1,3,18,28
3172749791,3172749732,45,2016,7,3,11,32
3172749784,3172749737,27,2004,12,24,7,15
3172749773,3172749706,33,2018,3,9,4,26
3172749749,3172749704,38,2011,9,2,16,8
3172749726,3172749721,2,2001,1,3,5,16
3172749727,3172749707,41,2015,7,5,12,16
3172749783,3172749708,27,2016,3,20,4,34
3172749793,3172749749,37,2015,1,9,14,8
3172749770,3172749796,38,2014,11,6,13,26
3172749704,3172749721,7,2010,3,5,11,2
3172749724,3172749777,11,2006,10,6,6,60
3172749779,3172749700,36,2016,6,27,18,51
3172749778,3172749796,39,2008,4,17,1,11
3172749769,3172749749,10,2018,8,20,3,29
3172749769,3172749758,19,2007,10,22,10,45
3172749761,3172749716,39,2006,7,21,3,4
3172749758,3172749753,51,2019,3,26,15,46
3172749728,3172749763,51,2005,6,27,5,50
3172749732,3172749736,57,2011,9,11,16,32
3172749719,3172749742,18,2002,1,18,8,3
3172749737,3172749786,21,2016,7,20,22,52
3172749776,3172749788,49,2006,11,26,11,31
3172749774,3172749767,50,2018,10,12,18,59
3172749768,3172749769,34,2016,2,3,1,50
3172749737,3172749745,17,2017,2,19,1,2
3172749765,3172749777,25,2004,12,22,16,47
3172749701,3172749780,8,2000,9,6,19,45
3172749796,3172749799,15,2017,12,18,14,31
3172749714,3172749794,50,2008,10,28,12,55
3172749729,3172749798,4,2017,9,2,15,33
3172749721,3172749786,26,2017,8,19,7,45
3172749748,3172749796,56,2002,10,28,12,8
3172749795,3172749717,10,2005,1,10,5,56
3172749723,3172749720,53,2006,12,3,11,42
3172749785,3172749723,33,2019,5,24,20,29
3172749735,3172749722,1,2012,2,19,22,53
3172749718,3172749721,50,2006,8,18,23,7
3172749760,3172749733,59,2014,7,16,4,46
3172749782,3172749703,22,2017,4,18,14,15
3172749790,3172749705,21,2011,7,16,20,5
3172749767,3172749755,2,2010,6,2,4,15
3172749763,3172749719,55,2016,4,10,9,46
3172749788,3172749730,27,2006,12,28,17,49
3172749720,3172749797,40,2012,6,22,17,9
3172749709,3172749717,13,2000,11,7,22,7
3172749734,3172749713,58,2003,11,13,10,2
3172749783,3172749705,30,2007,7,9,4,26
3172749736,3172749766,36,2003,3,20,20,20
3172749750,3172749713,2,2016,11,8,17,37
3172749796,3172749714,43,2006,11,16,2,5
3172749771,3172749735,32,2019,7,4,22,22
3172749796,3172749726,5,2014,4,13,20,31
3172749796,3172749728,22,2014,7,20,6,25
3172749740,3172749797,34,2003,8,5,3,55
3172749796,3172749771,13,2005,9,13,10,7
3172749749,3172749741,7,2012,8,6,17,44
3172749705,3172749745,45,2013,8,22,4,55
3172749788,3172749787,55,2013,9,25,3,58
3172749751,3172749729,51,2007,6,16,14,39
3172749755,3172749763,58,2007,11,15,6,51
